"Date","Time","Loading Bay Code","Bay Locked?","Bay Seq No.","Bay Area","Loading Bay Type","Emergency Shutdown State","Load ID","Tanker ID","Tanker Name","Bay Tanks","Bay Base Products"
"28/02/2018","12:51:02","BAY001","N","1","ON_SITE","Truck Bottom Loading","1","","","","S12|S14|S2|S36|S22|A1|A2|A3|A4|A5|A6|A7","988524|988690|98HZ42|FGETH|98FJ22|000001|000002|1047|200002770|200004950|200005590|U9569A"
"28/02/2018","12:51:02","BAY002","N","2","ON_SITE","Truck Top Loading","1","","","","S12|S14|S36|S22|A1|A2|A3|A4|A5|A6|A7","988524|988690|98HZ42|98FJ22|000001|000002|1047|200002770|200004950|200005590|U9569A"
"28/02/2018","12:51:02","BAY003","N","3","ON_SITE","Train Loading","1","","","","S14|S33|S36|H1|S31|A1|A2|A3|A4|A5|A6|A7|JTSTNK001","988524|988690|98HZ42|5000|98FJ22|000001|000002|000002|1047|200002770|200004950|200005590|U9569A"
"28/02/2018","12:51:02","BAY004","N","4","ON_SITE","Ship Loading","1","","","","S33|H1|S31|A2|A3|A4|A6|A7","988524|5000|98FJ22|000001|000002|1047|200002770|200004950"
"28/02/2018","12:51:02","","N","5","ON_SITE","Unloading","1","","","","S14|S33|S36|H1|S31|A1|A2|A3|A4|A5|A6|A7","988524|988690|98HZ42|5000|98FJ22|000001|000002|1047|200002770|200004950|200005590|U9569A"
"28/02/2018","12:51:02","BAY006","N","6","ON_SITE","Truck Bottom Loading","1","","","","S33|H1|S31|A2|A3|A4|A6|A7","988524|5000|98FJ22|000001|000002|1047|200002770|200004950"
"28/02/2018","12:51:02","","Y","7","ON_SITE","Truck Bottom Loading","1","","","","S31","98FJ22"
"28/02/2018","12:51:02","","N","8","ON_SITE","Truck Bottom Loading","1","","","","S31","98FJ22"
"28/02/2018","12:51:02","","N","9","ON_SITE","Truck Bottom Loading","1","","","","S31","98FJ22"
"28/02/2018","12:51:02","","N","10","ON_SITE","Truck Bottom Loading","1","","","","S31","98FJ22"
"28/02/2018","12:51:02","","N","11","ON_SITE","Truck Bottom Loading","1","","","","W103|A2","98FJ22|200002770"
"28/02/2018","12:51:02","","N","32","ON_SITE","Truck Bottom Loading","1","","","","H2|A1|A6","5000|000002|200005590"
"28/02/2018","12:51:02","","N","33","OFF SITE","Truck Bottom Loading","1","","","","S14|S17","988690|98FJ22"
"28/02/2018","12:51:02","","N","34","OFF SITE","Truck Bottom Loading","1","","","","S33|A1","988524|200005590"
