"Terminal","Date time","Tank Code","Tank Name","Base Product Code","Base Product Name","Reference Density (Kg/m3)","Tank Daily Variance Limit (%)","Tank Daily Variance Limit (vol)","Tank Monthly Variance Limit (%)","Tank Monthly Variance Limit (vol)","Tank Status","Tank Level (mm)","OBS quantity (L)","Tank Average temperature (C)","STD quantity (L@15.0C)","Mass quantity (Kg)","Ullage(L)","Value of HH","Value of H","Value of L","Value of LL","Value of User H","Value of User L","State of HH","State of H","State of L","State of LL","State of User H","State of User L","Selected by the filters?"
"DKI TEST","09/04/2018 12:15:09","A1","A1","200005590","NEMO 6124","882","11","22","33","44","In Service - Not used","0","15023","15","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A2","A2","200002770","NEMO 6101","875","","","","","In Service - Not used","0","23274","15","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A3","A3","200004950","NEMO 2010","920","","","","","In Service - Not used","0","2170","15","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A4","A4","1047","LUBRIZOL 9041C","920","","","","","In Service - Not used","0","1263","15","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A5","A5","U9569A","ULTRAZOL 9569A","920","","","","","In Service - Not used","0","29166","15","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A6","A6","000002","G10 ADD","920","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","A7","A7","000001","PET ADD","894","0","0","0","0","In Service - Not used","0","21800","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","H1","H1","5000","BioDiesel","881","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","H2","H2","5000","BioDiesel","881","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","H5","H5 Bio-Diesel","5000","BioDiesel","881","0","0","0","0","In Service - Not used","0","0","15.1","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","H6","H6","5000","BioDiesel","879","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","JTSTNK001","AAAA2","000002","G10 ADD","1000","0","1","0","2","In Service - Not used","0","0","0","0","0","125","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","JTSTNK002","JTSTNK002","000002","G10 ADD","1000","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S11","S11","988524","UNLEADED","713.896","0","0","0","0","In Service - Not used","24","2400001","20.6","2382029","1700521","","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S12","S12","988524","UNLEADED","729.099975585938","","","","","In Service - Not used","10","2360441","21.1000003814697","2342337","1707798","2510131","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S13","S13","5000","BioDiesel","892.3","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S14","S14","988690","PULP","742.799987792969","","","","","In Service - Not used","15","2006442","21.2000007629395","1991253","1479103","278842","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S17","S17","98FJ22","ULS ADO10","831.799987792969","","","","","In Service - Not used","10","4213848","26.2000007629395","4173184","3471255","230319","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S18","S18","98HZ42","PREMIUM 98","752.5","","","","","In Service - Not used","4","231239","20.8999996185303","229606","172779","454284","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S2","S2","FGETH","FUEL GRADE ETHANOL","793.6","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S22","S22","98FJ22","ULS ADO10","832.099975585938","","","","","In Service - Not used","9","4125046","23.6000003814697","4094521","3407051","2012472","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S3","S3","988524","UNLEADED","723.099975585937","","","","","In Service - Not used","10","4800391","19.1000003814697","4775381","3453078","5526224","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S31","S31","98FJ22","ULS ADO10","831.4","","","","","In Service - Not used","119","6695963","24.5","6641123.1","5521429.7","5653897","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S32","S32","98FJ22","ULS ADO10","839.400024414062","","","","","In Service - Not used","7","5569922","26","5518066","4631865","6770492","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S33","S33","988524","UNLEADED","729","","","","","In Service - Not used","6","4598218","18.6000003814697","4577434","3336949","7734134","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S34","S34","988690","PULP","742.6","","","","","In Service - Not used","6","1722913","17.9","1716814","1274906","3313119","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S35","S35","988524","UNLEADED","728.5","","","","","In Service - Not used","16","12008222","19.5","11940256","8698476","328527","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","S36","S36","98HZ42","PREMIUM 98","752.8","","","","","In Service - Not used","11","3374456","19.1","3357921","2527843","1658687","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TST101","tst101","200004320","Diesel 10","821","3","2","2","1","In Service - Not used","1234","1234567","38","1209369","992892","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TST102","TST102","200004320","Diesel 10","810.123",".5","345","3.5","3345","In Service - Not used","0","12341234","28","12195350","9878233","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TST6","tst6","200004320","Diesel 10","1000","12.3","1234.5","20","2345.6","In Service - Not used","1234","1234567","29.12","1233345","1123456","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TST900","tst900","137006","Unleaded Petrol","725","0","0","0","0","In Service - Not used","14000","0","0","0","0","0","14000","12000","2000","1000","13000","3000","1","1","0","0","1","0","1"
"DKI TEST","09/04/2018 12:15:09","TST9595","tst95","200004320","Diesel 10","836",".0567","118",".912","1112","In Service - Not used","0","12345678","11.23","12385233","10354055","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TSTCOFE","tst cofe","tst567","娴?璇?c567","890","0","0","0","0","In Service - Not used","1234","13770","20","13717","12345","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","TSTNAME","tstname2","tst2345","tst2345A","723.583","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","W101","W101","98FJ22","ULS ADO10","829.6","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","W102","W102","98FJ22","ULS ADO10","834.4","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","W103","W103","98FJ22","ULS ADO10","840","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","W107","W107","98FJ22","ULS ADO10","840","","","","","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","ZZZ002","ZZZ002","988524","UNLEADED","788","0","0","0","0","In Service - Not used","7","70000","29","69058","54418","124","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","ZZZ003","ZZZ003","6002","ADO","878","0","0","0","0","In Service - Not used","19","71238","29","70441","61847","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","ZZZ004","ZZZ004","988690","PULP","766","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","ZZZ005","ZZZ005","200004320","Diesel 10","898","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
"DKI TEST","09/04/2018 12:15:09","tankTest123","tankTest","tst1234","tst1234","890","0","0","0","0","In Service - Not used","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","1"
